uid;state;path_row;main_class;class_name;def_cloud;julian_day;image_date;year;area_km;scene_id;source;satellite;sensor;uuid;publish_ye
8177;PR;22077;desmatamento;d2017;;278;05/10/17;2017;0,013628014;1564;FA-BIOMAS MATA ATLANTICA;Landsat8;OLI;baad3bd9-4daa-4929-999a-a242700407a7;01/01/17
8180;SP;22077;desmatamento;d2017;;278;05/10/17;2017;0,019412706;1564;FA-BIOMAS MATA ATLANTICA;Landsat8;OLI;a9c1e95a-0b48-49a0-9b6f-9f1751ea2f25;01/01/17
8186;SP;22077;desmatamento;d2017;;278;05/10/17;2017;0,013209821;1564;FA-BIOMAS MATA ATLANTICA;Landsat8;OLI;cdd94ffb-4c18-4e02-98d9-a7d1aadbf816;01/01/17
157524;PR;22077;desmatamento;d2004;;243;30/08/04;2004;0,024568356;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;204dc213-b98e-4397-a6b8-cb081138c461;01/01/04
160469;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,034065299;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;d0394b39-71b6-4312-b963-9902740d11d1;01/01/04
1020927;PR;22077;desmatamento;d2021;;145;25/05/21;2021;0,01203253;1909;FA-BIOMAS MATA ATLANTICA;Landsat8;OLI;76732190-b4df-4b8c-967a-a89816c9e008;01/01/21
1020928;PR;22077;desmatamento;d2021;;145;25/05/21;2021;0,02062298;1909;FA-BIOMAS MATA ATLANTICA;Landsat8;OLI;e0aec693-a441-44b6-99da-7af524e46da0;01/01/21
2699;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,012294694;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;cf5c3451-7ce5-4161-a34f-9dfbc87987b0;01/01/04
1044277;SP;21977;desmatamento;d2022;;245;02/09/22;2022;0,016131261;2044;FA-BIOMAS MATA ATLANTICA;Landsat9;OLI;29c81f63-cd2e-42d5-b9f5-3512aaad84b6;01/01/22
223784;SP;21977;desmatamento;d2004;;332;27/11/04;2004;0,01490587;835;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;e05170dc-92d3-4214-9020-c6021a287200;01/01/04
224080;SP;21977;desmatamento;d2004;;332;27/11/04;2004;0,013920294;835;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;995fb4eb-6238-4cfc-a7e1-fc05c81f41cf;01/01/04
224105;SP;21977;desmatamento;d2004;;332;27/11/04;2004;0,010552349;835;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;d2666afd-2045-4038-814c-3f4dbbafd882;01/01/04
224251;SP;21977;desmatamento;d2004;;108;17/04/04;2004;0,021594354;836;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;4f56e716-0fc7-4873-b1d8-000aeb96eb88;01/01/04
225423;PR;22077;desmatamento;d2004;;243;30/08/04;2004;0,017599165;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;d0b23ebb-ec78-421c-8dcf-3df801ecb11b;01/01/04
226549;PR;22077;desmatamento;d2004;;243;30/08/04;2004;0,037396518;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;2d69030a-203a-454b-a19d-3483cf7b60bb;01/01/04
226600;PR;22077;desmatamento;d2004;;243;30/08/04;2004;0,021428443;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;d268040d-c3cb-46d2-8d0e-e46a91acc2b9;01/01/04
227580;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,000153463;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;431c8a29-cc32-4da9-b2da-7811f39e4872;01/01/04
227636;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,010666168;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;f65fd46c-f541-4f57-a8d7-9a44633cc219;01/01/04
228062;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,012225527;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;e044287c-3dd3-439d-97be-81c2759eab6c;01/01/04
228294;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,012827189;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;7f83d8a5-71b0-46f7-bfcd-e87c803ef6a0;01/01/04
228557;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,021571808;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;f915e47c-a680-4611-a965-ba5488feb3f0;01/01/04
1044471;SP;21977;desmatamento;d2022;;245;02/09/22;2022;0,015246893;2044;FA-BIOMAS MATA ATLANTICA;Landsat9;OLI;98d1514c-4bcc-4a73-8285-c7f20724e89e;01/01/22
231604;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,01272224;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;08166dbb-278e-46a2-978e-c1b6b8a266d6;01/01/04
237341;SC;22078;desmatamento;d2004;;243;30/08/04;2004;0,010646098;842;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;5b8df103-b1d5-4e92-9d79-1e85fa50d868;01/01/04
238328;SC;22078;desmatamento;d2004;;243;30/08/04;2004;0,028351353;842;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;310510d0-9966-4e99-b7a5-db034f10bc64;01/01/04
238804;SC;22078;desmatamento;d2004;;243;30/08/04;2004;0,012615018;842;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;680c9610-cbfc-4262-9cd4-86614bf5a25f;01/01/04
238818;SC;22078;desmatamento;d2004;;243;30/08/04;2004;0,015685085;842;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;d7c982ac-3805-4472-92d1-bcf6cc48a41f;01/01/04
238844;SC;22078;desmatamento;d2004;;243;30/08/04;2004;0,011514454;842;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;1c532396-e50a-421d-ae44-370638b6e502;01/01/04
1044551;SC;22078;desmatamento;d2022;;164;13/06/22;2022;0,012733132;2054;FA-BIOMAS MATA ATLANTICA;Landsat8;OLI;1dbf176d-991c-429a-b6c9-ccc1ef2364c8;01/01/22
2769;PR;22077;desmatamento;d2004;;243;30/08/04;2004;6,09847E-05;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;1b8f2b2c-3778-4d75-9e4e-129572a0fa00;01/01/04
2777;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,012835951;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;332a4184-108a-41e8-b75e-38bd941e166a;01/01/04
2796;SP;22077;desmatamento;d2004;;243;30/08/04;2004;0,014057224;841;FA-BIOMAS MATA ATLANTICA;Landsat5;TM;5913ba4a-e8b0-4829-8f17-8e12a103163a;01/01/04
